model_id,country_iso3,pilot_id,slot_id,domain,task,language,replicate_idx,venue,latency_ms,prompt_tokens,response_tokens,finish_reason,primary_task_score,factual_accuracy,contextual_completeness,citation_quality,calibration,absence_of_hallucination,composite
claude_haiku,USA,USA_P05,P05,D1,T3,en,0,anthropic_paid,3574,51,297,end_turn,1.0,1.0,1.0,0.5,0.5,1.0,0.85
claude_haiku,USA,USA_P05,P05,D1,T3,en,1,anthropic_paid,3179,51,296,end_turn,1.0,1.0,1.0,0.5,0.5,1.0,0.85
claude_haiku,USA,USA_P06,P06,D3,T3,en,0,anthropic_paid,3318,52,259,end_turn,1.0,1.0,1.0,0.5,0.5,1.0,0.85
claude_haiku,USA,USA_P06,P06,D3,T3,en,1,anthropic_paid,2897,52,269,end_turn,1.0,1.0,1.0,0.5,0.5,1.0,0.85
claude_haiku,USA,USA_P07,P07,D1,T4,en,0,anthropic_paid,4427,68,436,end_turn,0.79,0.853,0.395,0.79,0.5,1.0,0.6981499999999999
claude_haiku,USA,USA_P07,P07,D1,T4,en,1,anthropic_paid,4619,68,429,end_turn,0.79,0.853,0.395,0.79,0.5,1.0,0.6981499999999999
claude_haiku,USA,USA_P08,P08,D3,T4,en,0,anthropic_paid,4363,45,368,end_turn,0.79,0.853,0.395,0.79,0.5,1.0,0.6981499999999999
claude_haiku,USA,USA_P08,P08,D3,T4,en,1,anthropic_paid,4333,45,372,end_turn,0.79,0.853,0.395,0.79,0.5,1.0,0.6981499999999999
claude_haiku,USA,USA_P09,P09,D2,T5,en,0,anthropic_paid,1868,69,123,end_turn,1.0,1.0,0.5,0.5,1.0,1.0,0.8
claude_haiku,USA,USA_P09,P09,D2,T5,en,1,anthropic_paid,2051,69,116,end_turn,1.0,0.97,0.5,0.5,1.0,0.9,0.776
claude_haiku,USA,USA_P10,P10,D1,T5,en,0,anthropic_paid,2965,58,147,end_turn,0.65,0.7549999999999999,0.325,0.325,0.65,1.0,0.604
claude_haiku,USA,USA_P10,P10,D1,T5,en,1,anthropic_paid,2494,58,142,end_turn,0.65,0.7549999999999999,0.325,0.325,0.65,1.0,0.604
gpt5_mini,BRA,BRA_P01,P01,D1,T1,en,0,openai_paid,7557,47,546,stop,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.5,1.0,0.5583333333333333
gpt5_mini,BRA,BRA_P01,P01,D1,T1,en,1,openai_paid,5653,47,403,stop,0.5,0.5,0.25,0.25,0.5,1.0,0.475
gpt5_mini,BRA,BRA_P02,P02,D3,T1,en,0,openai_paid,9785,45,800,length,0.0,0.0,0.0,0.0,0.5,1.0,0.22499999999999998
gpt5_mini,BRA,BRA_P02,P02,D3,T1,en,1,openai_paid,9328,45,800,length,0.0,0.0,0.0,0.0,0.5,1.0,0.22499999999999998
gpt5_mini,BRA,BRA_P03,P03,D1,T2,en,0,openai_paid,10547,44,800,length,0.08000000000000002,0.356,0.08000000000000002,0.04000000000000001,0.5,1.0,0.3578
gpt5_mini,BRA,BRA_P03,P03,D1,T2,en,1,openai_paid,9286,44,800,length,0.08000000000000002,0.356,0.08000000000000002,0.04000000000000001,0.5,1.0,0.3578
gpt5_mini,BRA,BRA_P04,P04,D2,T2,en,0,openai_paid,17071,60,800,length,0.08000000000000002,0.356,0.08000000000000002,0.04000000000000001,0.5,1.0,0.3578
gpt5_mini,BRA,BRA_P04,P04,D2,T2,en,1,openai_paid,11169,60,800,length,0.08000000000000002,0.356,0.08000000000000002,0.04000000000000001,0.5,1.0,0.3578
gpt5_mini,BRA,BRA_P05,P05,D1,T3,en,0,openai_paid,16778,45,800,length,0.12,0.384,0.12,0.06,0.5,1.0,0.3792
gpt5_mini,BRA,BRA_P05,P05,D1,T3,en,1,openai_paid,13587,45,800,length,0.12,0.384,0.12,0.06,0.5,1.0,0.3792
gpt5_mini,BRA,BRA_P06,P06,D3,T3,en,0,openai_paid,10725,48,800,length,0.12,0.384,0.12,0.06,0.5,1.0,0.3792
gpt5_mini,BRA,BRA_P06,P06,D3,T3,en,1,openai_paid,10444,48,800,length,0.12,0.384,0.12,0.06,0.5,1.0,0.3792
gpt5_mini,BRA,BRA_P07,P07,D1,T4,en,0,openai_paid,11956,57,800,length,0.09,0.363,0.045,0.09,0.5,1.0,0.35865
gpt5_mini,BRA,BRA_P07,P07,D1,T4,en,1,openai_paid,10759,57,800,length,0.09,0.363,0.045,0.09,0.5,1.0,0.35865
gpt5_mini,BRA,BRA_P08,P08,D3,T4,en,0,openai_paid,9853,36,800,length,0.09,0.363,0.045,0.09,0.5,1.0,0.35865
gpt5_mini,BRA,BRA_P08,P08,D3,T4,en,1,openai_paid,10366,36,800,length,0.09,0.363,0.045,0.09,0.5,1.0,0.35865
gpt5_mini,BRA,BRA_P09,P09,D2,T5,en,0,openai_paid,8876,65,598,stop,0.25,0.475,0.125,0.125,0.25,1.0,0.38
gpt5_mini,BRA,BRA_P09,P09,D2,T5,en,1,openai_paid,8540,65,553,stop,1.0,1.0,0.5,0.5,1.0,1.0,0.8
gpt5_mini,BRA,BRA_P10,P10,D1,T5,en,0,openai_paid,10383,54,515,stop,0.25,0.475,0.125,0.125,0.25,1.0,0.38
gpt5_mini,BRA,BRA_P10,P10,D1,T5,en,1,openai_paid,8298,54,575,stop,1.0,0.97,0.5,0.5,1.0,0.9,0.776
gpt5_mini,NGA,NGA_P01,P01,D1,T1,en,0,openai_paid,11107,47,800,length,0.0,0.0,0.0,0.0,0.5,1.0,0.22499999999999998
gpt5_mini,NGA,NGA_P01,P01,D1,T1,en,1,openai_paid,15477,47,740,stop,1.0,1.0,0.5,0.5,0.5,1.0,0.725
gpt5_mini,NGA,NGA_P02,P02,D3,T1,en,0,openai_paid,11303,45,800,length,0.0,0.0,0.0,0.0,0.5,1.0,0.22499999999999998
gpt5_mini,NGA,NGA_P02,P02,D3,T1,en,1,openai_paid,9736,45,641,stop,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.5,1.0,0.5583333333333333
gpt5_mini,NGA,NGA_P03,P03,D1,T2,en,0,openai_paid,13242,44,800,length,0.08000000000000002,0.356,0.08000000000000002,0.04000000000000001,0.5,1.0,0.3578
gpt5_mini,NGA,NGA_P03,P03,D1,T2,en,1,openai_paid,14177,44,800,length,0.08000000000000002,0.356,0.08000000000000002,0.04000000000000001,0.5,1.0,0.3578
gpt5_mini,NGA,NGA_P04,P04,D2,T2,en,0,openai_paid,10073,60,800,length,0.08000000000000002,0.356,0.08000000000000002,0.04000000000000001,0.5,1.0,0.3578
gpt5_mini,NGA,NGA_P04,P04,D2,T2,en,1,openai_paid,9004,60,800,length,0.08000000000000002,0.356,0.08000000000000002,0.04000000000000001,0.5,1.0,0.3578
gpt5_mini,NGA,NGA_P05,P05,D1,T3,en,0,openai_paid,10853,45,800,length,0.12,0.384,0.12,0.06,0.5,1.0,0.3792
gpt5_mini,NGA,NGA_P05,P05,D1,T3,en,1,openai_paid,8426,45,800,length,0.12,0.384,0.12,0.06,0.5,1.0,0.3792
gpt5_mini,NGA,NGA_P06,P06,D3,T3,en,0,openai_paid,10846,48,800,length,0.12,0.384,0.12,0.06,0.5,1.0,0.3792
gpt5_mini,NGA,NGA_P06,P06,D3,T3,en,1,openai_paid,11959,48,800,length,0.12,0.384,0.12,0.06,0.5,1.0,0.3792
gpt5_mini,NGA,NGA_P07,P07,D1,T4,en,0,openai_paid,12282,57,800,length,0.09,0.363,0.045,0.09,0.5,1.0,0.35865
gpt5_mini,NGA,NGA_P07,P07,D1,T4,en,1,openai_paid,11619,57,800,length,0.09,0.363,0.045,0.09,0.5,1.0,0.35865
gpt5_mini,NGA,NGA_P08,P08,D3,T4,en,0,openai_paid,13665,36,800,length,0.09,0.363,0.045,0.09,0.5,1.0,0.35865
gpt5_mini,NGA,NGA_P08,P08,D3,T4,en,1,openai_paid,10142,36,800,length,0.09,0.363,0.045,0.09,0.5,1.0,0.35865
gpt5_mini,NGA,NGA_P09,P09,D2,T5,en,0,openai_paid,9629,65,800,length,0.0,0.3,0.0,0.0,0.0,1.0,0.24
gpt5_mini,NGA,NGA_P09,P09,D2,T5,en,1,openai_paid,8851,65,800,length,0.0,0.3,0.0,0.0,0.0,1.0,0.24
gpt5_mini,NGA,NGA_P10,P10,D1,T5,en,0,openai_paid,9258,54,800,length,0.0,0.3,0.0,0.0,0.0,1.0,0.24
gpt5_mini,NGA,NGA_P10,P10,D1,T5,en,1,openai_paid,11123,54,657,stop,0.25,0.475,0.125,0.125,0.25,1.0,0.38
gpt5_mini,IND,IND_P01,P01,D1,T1,en,0,openai_paid,8741,47,561,stop,1.0,1.0,0.5,0.5,0.5,1.0,0.725
gpt5_mini,IND,IND_P01,P01,D1,T1,en,1,openai_paid,10968,47,800,length,0.0,0.0,0.0,0.0,0.5,1.0,0.22499999999999998
gpt5_mini,IND,IND_P02,P02,D3,T1,en,0,openai_paid,12458,45,800,length,0.0,0.0,0.0,0.0,0.5,1.0,0.22499999999999998
